176 3
23 77 90 
96 40 90 
3 32 16 
3 19 96 
3 2 23 
64 19 3 
64 19 96 
64 70 96 
64 38 23 
64 43 96 
16 76 96 
16 86 23 
90 13 23 
12 91 38 
12 79 38 
57 21 12 
19 67 12 
70 4 19 
70 20 38 
70 96 19 
64 43 19 
95 86 30 
20 50 30 
52 36 95 
52 54 20 
30 33 52 
70 37 30 
70 7 4 
70 96 4 
42 89 31 
42 25 66 
55 24 66 
55 10 31 
55 81 66 
55 8 1 
1 21 55 
87 41 55 
87 69 42 
66 73 1 
66 58 31 
28 48 69 
87 43 69 
87 78 77 
87 84 28 
41 82 9 
41 34 77 
9 88 69 
69 6 9 
78 50 84 
78 47 29 
29 76 43 
22 92 84 
22 75 29 
22 39 78 
22 94 84 
22 60 29 
49 56 34 
14 82 49 
93 39 34 
93 94 92 
6 9 49 
92 22 93 
92 62 14 
92 28 93 
82 14 83 
82 81 55 
24 5 83 
24 5 82 
24 62 83 
24 75 32 
55 57 83 
32 63 82 
32 29 83 
83 5 82 
24 92 26 
24 25 66 
73 45 26 
26 94 58 
26 85 5 
58 4 66 
44 82 33 
91 18 12 
91 65 44 
33 30 61 
33 50 91 
79 15 44 
79 71 61 
79 17 91 
79 38 91 
79 49 33 
79 2 61 
79 56 44 
72 73 67 
32 76 19 
32 76 63 
67 51 63 
19 76 63 
22 94 92 
22 7 25 
92 48 62 
92 48 25 
62 48 25 
75 15 62 
94 28 93 
7 37 93 
7 85 60 
7 40 39 
94 59 48 
40 8 37 
96 4 7 
71 50 17 
17 89 15 
46 6 17 
46 54 71 
46 31 15 
46 10 71 
79 2 71 
79 56 15 
6 88 69 
46 58 43 
14 35 63 
14 15 44 
11 35 14 
11 35 63 
11 52 82 
11 13 63 
81 57 14 
36 45 11 
36 45 68 
68 76 35 
54 50 36 
11 45 68 
11 13 35 
45 88 72 
45 90 39 
95 42 72 
95 27 45 
21 10 71 
21 8 1 
21 67 1 
50 74 1 
50 18 21 
50 91 20 
89 42 88 
17 18 51 
88 13 51 
74 13 47 
74 86 30 
30 37 74 
47 5 33 
16 27 68 
29 47 76 
68 85 29 
27 65 89 
27 2 86 
27 56 89 
13 59 53 
53 34 90 
53 40 90 
53 48 88 
10 59 8 
10 80 81 
57 62 8 
21 67 8 
27 38 65 
27 56 65 
10 2 59 
38 65 56 
2 80 56 
2 23 38 
83 47 35 
2 86 61 
60 47 51 
53 40 34 
59 8 74 
86 37 74 
