176 3
0 7 20
0 7 54
0 20 54
0 20 66
0 49 73
0 65 72
1 2 22
1 9 58
1 22 37
1 26 85
1 55 79
1 60 78
1 60 85
1 70 78
2 15 31
2 18 63
2 18 95
3 6 69
3 6 95
3 18 69
3 57 65
3 69 95
4 23 81
4 23 82
4 25 84
4 32 46
4 81 82
5 8 48
5 8 68
5 16 45
5 68 87
6 21 24
6 36 92
6 38 39
6 59 84
7 9 58
7 20 66
7 36 39
7 56 61
7 58 73
8 40 81
8 68 87
9 20 70
9 30 54
9 45 70
9 79 80
10 12 34
10 12 62
10 13 34
10 34 62
10 35 44
10 44 67
10 51 81
11 17 90
11 18 66
11 20 56
11 37 78
11 37 90
12 22 89
12 46 73
12 50 87
12 52 58
13 14 43
13 34 62
13 48 81
13 56 80
13 61 91
13 81 82
14 16 88
14 30 45
14 43 78
14 55 78
14 61 74
15 22 85
15 26 67
15 75 95
16 17 50
16 49 70
16 78 90
17 20 49
18 31 75
18 42 63
18 62 75
18 63 95
18 69 95
19 29 49
19 37 69
19 49 90
19 51 53
21 28 59
21 28 74
21 38 77
21 83 91
21 83 93
21 91 92
21 91 93
22 37 63
22 76 89
23 24 65
23 25 91
23 31 74
23 54 65
23 61 82
24 41 65
24 47 61
24 47 91
25 44 72
25 57 93
26 37 64
26 44 94
26 55 64
26 55 88
26 64 88
27 47 68
27 83 86
27 91 92
27 92 93
28 31 82
28 42 75
28 46 75
28 46 77
28 67 84
29 32 51
29 32 60
29 36 69
29 36 73
29 73 85
29 85 94
30 41 88
30 57 65
31 62 75
31 62 81
32 43 81
32 48 78
32 49 90
33 38 92
33 39 52
33 40 76
33 48 55
33 52 89
34 46 82
34 67 75
35 44 67
35 49 53
35 51 94
36 73 85
37 55 64
37 78 90
38 44 89
39 52 89
39 89 95
40 54 86
41 68 86
41 71 94
41 87 88
42 45 57
42 63 95
42 68 86
43 55 78
43 64 90
44 71 87
45 53 70
46 50 59
47 52 87
47 58 93
47 61 91
49 77 83
50 62 66
54 56 82
54 65 80
54 80 81
60 70 78
63 69 95
66 71 72
76 77 86
91 92 93
